'district_name, area_rice,area_shrimp,area_rice_other,area_fruit,area_annualcrops'
district_name, area_rice,area_shrimp,area_rice_other,area_fruit,area_annualcrops
nil,15344.0,16.0,0.0,7616.0,64.0
nil,10688.0,9776.0,11264.0,592.0,448.0
nil,24112.0,4720.0,368.0,448.0,1184.0
nil,112.0,30448.0,2448.0,912.0,2048.0
nil,0.0,1040.0,0.0,1808.0,8016.0
nil,17328.0,0.0,0.0,992.0,944.0
nil,23328.0,128.0,416.0,1040.0,2672.0
nil,5376.0,96.0,0.0,384.0,336.0
nil,18976.0,0.0,0.0,448.0,416.0
nil,18592.0,16.0,16.0,640.0,96.0
nil,23568.0,176.0,384.0,512.0,320.0
nil,15344.0,16.0,0.0,7616.0,64.0
nil,10688.0,9776.0,11264.0,592.0,448.0
nil,24112.0,4720.0,368.0,448.0,1184.0
nil,112.0,30448.0,2448.0,912.0,2048.0
nil,0.0,1040.0,0.0,1808.0,8016.0
nil,17328.0,0.0,0.0,992.0,944.0
nil,23328.0,128.0,416.0,1040.0,2672.0
nil,5376.0,96.0,0.0,384.0,336.0
nil,18976.0,0.0,0.0,448.0,416.0
nil,18592.0,16.0,16.0,640.0,96.0
nil,23568.0,176.0,384.0,512.0,320.0
nil,15344.0,16.0,0.0,7616.0,64.0
nil,10688.0,9776.0,11264.0,592.0,448.0
nil,24112.0,4720.0,368.0,448.0,1184.0
nil,112.0,30448.0,2448.0,912.0,2048.0
nil,0.0,1040.0,0.0,1808.0,8016.0
nil,17328.0,0.0,0.0,992.0,944.0
nil,23328.0,128.0,416.0,1040.0,2672.0
nil,5376.0,96.0,0.0,384.0,336.0
nil,18976.0,0.0,0.0,448.0,416.0
nil,18592.0,16.0,16.0,640.0,96.0
nil,23568.0,176.0,384.0,512.0,320.0
