v_year,total_rice,total_shrimp,total_riceother,total_fruit,total_crops
2005,141468.0,47647.0,5285.0,17796.0,18184.0
2006,140951.0,49460.0,5340.0,17923.0,18335.0
2008,140729.0,51013.0,5329.0,17899.0,18318.0
2011,140617.0,52306.0,5258.0,17886.0,18276.0
2015,140538.0,53341.0,5198.0,17852.0,18234.0
2020,140478.0,54201.0,5168.0,17790.0,18186.0
2026,140456.0,54903.0,5092.0,17759.0,18142.0
2033,140438.0,55542.0,5036.0,17701.0,18072.0
2041,140425.0,56041.0,5015.0,17634.0,18014.0
2050,140425.0,56441.0,4977.0,17600.0,17956.0
2060,140435.0,56787.0,4938.0,17554.0,17885.0
2071,140447.0,57104.0,4899.0,17506.0,17813.0
2005,141479.0,47577.0,5322.0,17823.0,18145.0
2006,140944.0,49464.0,5357.0,17973.0,18292.0
2005,141487.0,47558.0,5116.0,17788.0,18363.0
2006,140957.0,49486.0,5260.0,17816.0,18499.0
2008,140727.0,51065.0,5264.0,17784.0,18513.0
2011,140610.0,52268.0,5186.0,17777.0,18490.0
2015,140531.0,53331.0,5133.0,17734.0,18436.0
2020,140475.0,54156.0,5097.0,17694.0,18370.0
2026,140455.0,54876.0,5011.0,17686.0,18299.0
2033,140440.0,55465.0,4929.0,17682.0,18238.0
2041,140432.0,56004.0,4884.0,17631.0,18169.0
2050,140436.0,56412.0,4821.0,17612.0,18120.0
2060,140430.0,56753.0,4750.0,17607.0,18054.0
2071,140440.0,57046.0,4703.0,17578.0,17998.0
2005,141472.0,47650.0,4973.0,17893.0,18410.0
2006,140956.0,49458.0,5063.0,17972.0,18584.0
2007,140726.0,50977.0,5052.0,17954.0,18608.0
2008,140609.0,52218.0,4970.0,17951.0,18588.0
2009,140541.0,53213.0,4908.0,17909.0,18552.0
2010,140479.0,54119.0,4861.0,17847.0,18485.0
2011,140450.0,54865.0,4773.0,17813.0,18436.0
2012,140437.0,55469.0,4726.0,17750.0,18383.0
2013,140433.0,56032.0,4704.0,17664.0,18307.0
2014,140431.0,56473.0,4666.0,17613.0,18236.0
2015,140435.0,56827.0,4612.0,17574.0,18169.0
2016,140454.0,57123.0,4570.0,17539.0,18110.0
2017,140479.0,57398.0,4541.0,17493.0,18038.0
2018,140485.0,57643.0,4522.0,17427.0,17982.0
2019,140488.0,57820.0,4503.0,17398.0,17930.0
2020,140496.0,58008.0,4480.0,17357.0,17884.0
2021,140506.0,58157.0,4455.0,17330.0,17828.0
2022,140513.0,58286.0,4423.0,17313.0,17779.0
2023,140528.0,58398.0,4373.0,17320.0,17735.0
2024,140530.0,58514.0,4334.0,17317.0,17684.0
2025,140535.0,58610.0,4293.0,17317.0,17638.0
2026,140540.0,58713.0,4284.0,17277.0,17598.0
2027,140557.0,58781.0,4281.0,17242.0,17570.0
2028,140562.0,58868.0,4276.0,17198.0,17539.0
2029,140563.0,58939.0,4268.0,17178.0,17505.0
2030,140559.0,59014.0,4262.0,17151.0,17471.0
2031,140564.0,59079.0,4257.0,17129.0,17433.0
2005,143013.0,47125.0,8486.0,14919.0,16146.0
2006,142404.0,48616.0,8808.0,15019.0,16256.0
2007,142046.0,49859.0,8668.0,15286.0,16358.0
2008,141758.0,50946.0,8428.0,15552.0,16462.0
2009,141518.0,51930.0,8151.0,15752.0,16576.0
2010,141343.0,52733.0,7882.0,15983.0,16612.0
2011,141211.0,53496.0,7592.0,16181.0,16669.0
2012,141120.0,54189.0,7345.0,16331.0,16684.0
2013,141029.0,54756.0,7125.0,16456.0,16712.0
2014,140947.0,55228.0,6919.0,16572.0,16747.0
2015,140881.0,55701.0,6732.0,16664.0,16762.0
2016,140845.0,56101.0,6587.0,16710.0,16755.0
2017,140810.0,56454.0,6464.0,16766.0,16735.0
2018,140784.0,56780.0,6329.0,16818.0,16711.0
2019,140770.0,57048.0,6240.0,16829.0,16705.0
2020,140753.0,57283.0,6139.0,16863.0,16694.0
2021,140723.0,57504.0,6069.0,16861.0,16677.0
2022,140691.0,57705.0,5998.0,16868.0,16674.0
2023,140679.0,57882.0,5936.0,16869.0,16655.0
2024,140665.0,58042.0,5887.0,16865.0,16627.0
2025,140645.0,58192.0,5840.0,16863.0,16597.0
2026,140627.0,58347.0,5795.0,16855.0,16580.0
2027,140618.0,58457.0,5754.0,16850.0,16565.0
2028,140610.0,58565.0,5723.0,16837.0,16541.0
2029,140602.0,58662.0,5699.0,16819.0,16526.0
2030,140583.0,58755.0,5664.0,16822.0,16514.0
2031,140583.0,58838.0,5636.0,16814.0,16496.0
